brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
93009.0,for_sale,99500.0,3.0,2.0,0.19,1683580.0,Austin,Minnesota,55912.0,2088.0,2019-05-06
18781.0,for_sale,93900.0,3.0,2.0,0.14,1771067.0,Austin,Minnesota,55912.0,2557.0,2008-06-20
52969.0,for_sale,234900.0,5.0,3.0,0.26,1672110.0,Austin,Minnesota,55912.0,3287.0,2019-07-26
94304.0,for_sale,124900.0,2.0,1.0,0.12,132951.0,Austin,Minnesota,55912.0,1512.0,2021-10-26
79223.0,for_sale,125000.0,3.0,1.0,0.18,1678952.0,Austin,Minnesota,55912.0,936.0,2019-08-23
108612.0,for_sale,122000.0,2.0,1.0,0.14,1581967.0,Austin,Minnesota,55912.0,2184.0,2017-10-16
79223.0,for_sale,226000.0,2.0,3.0,0.1,1144334.0,Austin,Minnesota,55912.0,2680.0,2020-06-25
47125.0,for_sale,159900.0,2.0,2.0,0.14,1163146.0,Austin,Minnesota,55912.0,1854.0,2008-05-16
22611.0,for_sale,449900.0,2.0,3.0,0.89,568216.0,Austin,Minnesota,55912.0,3433.0,2016-03-14
79223.0,for_sale,464900.0,6.0,4.0,0.79,1468624.0,Austin,Minnesota,55912.0,4635.0,2016-07-08
107545.0,for_sale,898000.0,3.0,5.0,7.5,1773562.0,Austin,Minnesota,55912.0,1840.0,2015-08-19
33596.0,for_sale,254900.0,4.0,1.0,5.0,324319.0,Kiester,Minnesota,56051.0,1973.0,2012-12-03
13165.0,for_sale,141900.0,2.0,2.0,0.22,634827.0,Kiester,Minnesota,56051.0,1920.0,2006-12-07
79388.0,for_sale,59000.0,4.0,2.0,0.1,1331002.0,Blue Earth,Minnesota,56013.0,2724.0,2022-04-29
70238.0,for_sale,149900.0,3.0,2.0,0.76,1609101.0,Blue Earth,Minnesota,56013.0,1984.0,2022-04-29
79388.0,for_sale,149900.0,4.0,2.0,0.2,709470.0,Blue Earth,Minnesota,56013.0,2442.0,2014-01-21
45146.0,for_sale,89900.0,3.0,2.0,0.2,1481853.0,Blue Earth,Minnesota,56013.0,1675.0,2017-11-22
52601.0,for_sale,241500.0,3.0,3.0,0.51,1602646.0,Blue Earth,Minnesota,56013.0,3128.0,2021-08-16
19439.0,for_sale,87900.0,3.0,3.0,0.32,98418.0,Kiester,Minnesota,56051.0,2683.0,2015-03-17
70238.0,for_sale,159000.0,3.0,2.0,0.11,945385.0,Blue Earth,Minnesota,56013.0,3148.0,2020-06-08
70238.0,for_sale,189900.0,3.0,2.0,0.31,239917.0,Blue Earth,Minnesota,56013.0,2192.0,2022-04-14
70238.0,for_sale,229000.0,3.0,2.0,0.31,226243.0,Blue Earth,Minnesota,56013.0,2796.0,2022-04-14
52969.0,for_sale,119900.0,2.0,2.0,0.3,280990.0,Austin,Minnesota,55912.0,1765.0,2005-12-15
47125.0,for_sale,137900.0,4.0,1.0,0.09,1147635.0,Austin,Minnesota,55912.0,2598.0,2007-07-13
94443.0,for_sale,53900.0,2.0,1.0,0.21,569703.0,Austin,Minnesota,55912.0,1056.0,2010-09-07
52969.0,for_sale,129900.0,2.0,2.0,0.5,1771058.0,Austin,Minnesota,55912.0,1720.0,2021-05-05
47125.0,for_sale,72000.0,2.0,1.0,0.14,1463187.0,Austin,Minnesota,55912.0,748.0,2022-03-25
52969.0,for_sale,459900.0,5.0,4.0,0.2,702300.0,Austin,Minnesota,55912.0,3621.0,2018-09-28
33664.0,for_sale,245000.0,3.0,3.0,3.93,1723706.0,Albert Lea,Minnesota,56007.0,1847.0,2021-08-13
52969.0,for_sale,195000.0,3.0,2.0,0.14,1142941.0,Austin,Minnesota,55912.0,2098.0,2021-07-06
108612.0,for_sale,95800.0,3.0,3.0,0.23,1153908.0,Lyle,Minnesota,55953.0,2665.0,2021-09-29
