price,bed,bath,acre_lot,city,house_size
99500.0,3.0,2.0,0.19,Austin,2088.0
93900.0,3.0,2.0,0.14,Austin,2557.0
234900.0,5.0,3.0,0.26,Austin,3287.0
124900.0,2.0,1.0,0.12,Austin,1512.0
125000.0,3.0,1.0,0.18,Austin,936.0
122000.0,2.0,1.0,0.14,Austin,2184.0
226000.0,2.0,3.0,0.1,Austin,2680.0
159900.0,2.0,2.0,0.14,Austin,1854.0
141900.0,2.0,2.0,0.22,Kiester,1920.0
59000.0,4.0,2.0,0.1,Blue Earth,2724.0
149900.0,4.0,2.0,0.2,Blue Earth,2442.0
89900.0,3.0,2.0,0.2,Blue Earth,1675.0
241500.0,3.0,3.0,0.51,Blue Earth,3128.0
87900.0,3.0,3.0,0.32,Kiester,2683.0
159000.0,3.0,2.0,0.11,Blue Earth,3148.0
189900.0,3.0,2.0,0.31,Blue Earth,2192.0
229000.0,3.0,2.0,0.31,Blue Earth,2796.0
119900.0,2.0,2.0,0.3,Austin,1765.0
137900.0,4.0,1.0,0.09,Austin,2598.0
53900.0,2.0,1.0,0.21,Austin,1056.0
129900.0,2.0,2.0,0.5,Austin,1720.0
72000.0,2.0,1.0,0.14,Austin,748.0
459900.0,5.0,4.0,0.2,Austin,3621.0
195000.0,3.0,2.0,0.14,Austin,2098.0
95800.0,3.0,3.0,0.23,Lyle,2665.0
374900.0,3.0,4.0,0.16,Austin,3465.0
189900.0,3.0,2.0,0.16,Austin,2210.0
150000.0,3.0,2.0,0.1,Austin,1791.0
169900.0,3.0,2.0,0.13,Austin,1842.0
139800.0,2.0,2.0,0.15,Austin,1551.0
105000.0,2.0,2.0,0.21,Austin,1640.0
79000.0,2.0,1.0,0.46,Hayward,1236.0
289000.0,4.0,3.0,0.43,Austin,2248.0
164900.0,2.0,1.0,0.17,Austin,2288.0
165000.0,4.0,2.0,0.16,Austin,1945.0
179900.0,3.0,2.0,0.19,Austin,2260.0
200000.0,3.0,2.0,0.19,Austin,2184.0
239000.0,3.0,2.0,0.23,Austin,2272.0
200000.0,3.0,2.0,0.2,Austin,1744.0
170000.0,5.0,3.0,0.26,Austin,3521.0
166900.0,4.0,2.0,0.23,Austin,2184.0
154900.0,2.0,2.0,0.12,Austin,2432.0
232300.0,3.0,3.0,0.31,Austin,2100.0
294900.0,4.0,2.0,0.47,Austin,2224.0
184999.0,3.0,2.0,0.13,Austin,2082.0
129900.0,2.0,2.0,0.14,Austin,1172.0
195000.0,5.0,3.0,0.16,Austin,2694.0
79000.0,4.0,3.0,0.16,Bricelyn,2586.0
92900.0,2.0,1.0,0.12,Albert Lea,1440.0
134900.0,4.0,2.0,0.26,Glenville,2688.0
99900.0,2.0,1.0,0.13,Albert Lea,1836.0
250000.0,3.0,2.0,0.23,Alden,2100.0
174900.0,3.0,2.0,0.27,Wells,2424.0
319900.0,3.0,2.0,0.48,Wells,4222.0
161000.0,3.0,2.0,0.19,Wells,2144.0
149900.0,3.0,2.0,0.3,Wells,2592.0
195000.0,3.0,2.0,0.23,Le Roy,2632.0
115000.0,3.0,2.0,0.12,Adams,1115.0
305000.0,3.0,3.0,0.25,Grand Meadow,2296.0
159900.0,3.0,1.0,0.16,Ostrander,1782.0
135000.0,4.0,2.0,0.19,Austin,1378.0
210000.0,4.0,2.0,0.32,Spring Valley,2465.0
159900.0,2.0,2.0,0.27,Spring Valley,2188.0
225000.0,4.0,2.0,0.35,Spring Valley,4321.0
159900.0,3.0,2.0,0.19,Spring Valley,1968.0
289900.0,4.0,4.0,0.29,Albert Lea,2599.0
205000.0,4.0,2.0,0.23,Albert Lea,2652.0
119900.0,3.0,2.0,0.11,Albert Lea,2209.0
181900.0,3.0,2.0,0.28,Albert Lea,2454.0
188500.0,5.0,4.0,0.34,Albert Lea,4400.0
449900.0,3.0,3.0,0.35,Albert Lea,2364.0
94900.0,2.0,1.0,0.07,Albert Lea,1163.0
